EQP_TYPE,RECIPE_PREV,RECIPE_ID,TIME
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,TUVzRkRCOFpTRDZVRVhDY3BBbnBvQ3RMdXN5Rnc2bjlyVkVGWC9WU0hIOD0=,M1EvOWkwcTF6bm05WHJiektnNlhHRkkxdnRJbVRlb2NYaTR4L2gyVXFYZz0=,3.33
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,M1EvOWkwcTF6bm05WHJiektnNlhHRkkxdnRJbVRlb2NYaTR4L2gyVXFYZz0=,RHh2Tm9mZFEyd0lUMXZpb1hISVJNZnFYaGF5WnNHY0FVSWZlRFk5L25kaz0=,7.29
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,RHh2Tm9mZFEyd0lUMXZpb1hISVJNZnFYaGF5WnNHY0FVSWZlRFk5L25kaz0=,cVR5S3JrRTBpQWpJUFppSlZTaXJkbHBjUHhUS3hFWmgyeWdnemZ1eGhhbz0=,3.8
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,cVR5S3JrRTBpQWpJUFppSlZTaXJkbHBjUHhUS3hFWmgyeWdnemZ1eGhhbz0=,UzJIMVlnUjAvSmkzL25LaGhRREZDZktQaGNiYUZ4bjBzamZJSlBsdlI1Zz0=,7.16
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,UzJIMVlnUjAvSmkzL25LaGhRREZDZktQaGNiYUZ4bjBzamZJSlBsdlI1Zz0=,SkpXSXBsS1pZWFBZeUQ3Z2FUU3lrQ1dCYXlob2VJZVdETGdSQ0srMEJoOD0=,5.295
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,SkpXSXBsS1pZWFBZeUQ3Z2FUU3lrQ1dCYXlob2VJZVdETGdSQ0srMEJoOD0=,eEZ4SmtTekJtTVYwQlFWclpjY0lUT2tqRGRDQ1NPWk1XZDdpRGhEVWRuND0=,4.88
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,eEZ4SmtTekJtTVYwQlFWclpjY0lUT2tqRGRDQ1NPWk1XZDdpRGhEVWRuND0=,SjFyRndOWlRFcTZ5dlRTMDhMUGg5TE5waWJVKy83TVFNbDdJME0rRFU1ND0=,7.75
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,SjFyRndOWlRFcTZ5dlRTMDhMUGg5TE5waWJVKy83TVFNbDdJME0rRFU1ND0=,TUVzRkRCOFpTRDZVRVhDY3BBbnBvQ3RMdXN5Rnc2bjlyVkVGWC9WU0hIOD0=,3.33
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,TUVzRkRCOFpTRDZVRVhDY3BBbnBvQ3RMdXN5Rnc2bjlyVkVGWC9WU0hIOD0=,NEQ5Z2JrUkhWb0tyUkRVUWttYXdDQS9UcG95aG44Rmx5SVE4enhOSlJ5VT0=,7.29
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,NEQ5Z2JrUkhWb0tyUkRVUWttYXdDQS9UcG95aG44Rmx5SVE4enhOSlJ5VT0=,NEQ5Z2JrUkhWb0tyUkRVUWttYXdDQS9UcG95aG44Rmx5SVE4enhOSlJ5VT0=,4.88
